index,country,name,full_name,symbol,currency,class,market
587,china,FTSE RAFI Hong Kong/China 80 - QSR GBP TR,FTSE RAFI Hong Kong/China 80 - QSR GBP TR,TFTFRHKC80QS,GBP,other_indices,global_indices
588,china,FTSE RAFI Hong Kong/China 80 - QSR AUD TR,FTSE RAFI Hong Kong/China 80 - QSR AUD TR,TFTFRHKC80QA,AUD,other_indices,global_indices
589,china,FTSE RAFI Hong Kong/China 80 - QSR CAD TR,FTSE RAFI Hong Kong/China 80 - QSR CAD TR,TFTFRHKC80QCAD,CAD,other_indices,global_indices
590,china,FTSE RAFI Hong Kong/China 80 - QSR CHF PR,FTSE RAFI Hong Kong/China 80 - QSR CHF PR,FTFRHKC80QSF,CHF,other_indices,global_indices
591,china,FTSE RAFI Hong Kong/China 80 - QSR JPY TR,FTSE RAFI Hong Kong/China 80 - QSR JPY TR,TFTFRHKC80QY,JPY,other_indices,global_indices
592,china,FTSE RAFI Hong Kong/China 80 - QSR EUR TR,FTSE RAFI Hong Kong/China 80 - QSR EUR TR,TFTFRHKC80QE,EUR,other_indices,global_indices
593,china,FTSE RAFI Hong Kong/China 80 - QSR USD TR,FTSE RAFI Hong Kong/China 80 - QSR USD TR,TFTFRHKC80QU,USD,other_indices,global_indices
594,china,FTSE RAFI Hong Kong/China 80 - QSR CAD PR,FTSE RAFI Hong Kong/China 80 - QSR CAD PR,FTFRHKC80QCAD,CAD,other_indices,global_indices
595,china,FTSE RAFI Hong Kong/China 80 - QSR CHF TR,FTSE RAFI Hong Kong/China 80 - QSR CHF TR,TFTFRHKC80QSF,CHF,other_indices,global_indices
596,china,FTSE China 50 NET,FTSE China 50 NET,FTGPDEU003U,USD,other_indices,global_indices
597,china,FTSE Global All Cap ex Canada China A Inclusion Ne,FTSE Global All Cap ex Canada China A Inclusion Net Tax CAD TR,TFTFQACXCNC,CAD,other_indices,global_indices
598,china,FTSE RAFI Hong Kong/China 80 - QSR USD PR,FTSE RAFI Hong Kong/China 80 - QSR USD PR,FTFRHKC80QU,USD,other_indices,global_indices
599,china,FTSE RAFI Hong Kong/China 80 - QSR EUR PR,FTSE RAFI Hong Kong/China 80 - QSR EUR PR,FTFRHKC80QE,EUR,other_indices,global_indices
600,china,FTSE RAFI Hong Kong/China 80 - QSR AUD PR,FTSE RAFI Hong Kong/China 80 - QSR AUD PR,FTFRHKC80QA,AUD,other_indices,global_indices
601,china,FTSE RAFI Hong Kong/China 80 - QSR JPY PR,FTSE RAFI Hong Kong/China 80 - QSR JPY PR,FTFRHKC80QY,JPY,other_indices,global_indices
602,china,FTSE RAFI Hong Kong/China 80 - QSR GBP PR,FTSE RAFI Hong Kong/China 80 - QSR GBP PR,FTFRHKC80QS,GBP,other_indices,global_indices
603,china,FTSE China HY150 TR CNY,FTSE China HY150 TR CNY,TFTXH150C,CNY,other_indices,global_indices
604,china,FTSE China Travel Leisure EUR,FTSE China Travel Leisure EUR,FTWICHN5750E,EUR,other_indices,global_indices
605,china,FTSE China HY150 TR USD,FTSE China HY150 TR USD,TFTXH150U,USD,other_indices,global_indices
606,china,FTSE ChinaA HY150 CNY,FTSE ChinaA HY150 CNY,FTXH150C,CNY,other_indices,global_indices
607,china,FTSE Mpf China,FTSE Mpf China,FTGPMPF030H,HKD,other_indices,global_indices
608,china,FTSE Greater China 150,FTSE Greater China 150,FTFGCHN150,USD,other_indices,global_indices
609,china,FTSE EPRANAREIT Emerging Net TRIUSD,FTSE EPRANAREIT Emerging Net TRIUSD,TFTRNEICHNU,USD,other_indices,global_indices
610,china,FTSE EPRANAREIT Emerging Net TRIGBP,FTSE EPRANAREIT Emerging Net TRIGBP,TFTRNEICHNS,GBP,other_indices,global_indices
611,china,FTSE EPRANAREIT Emerging Net TRIEUR,FTSE EPRANAREIT Emerging Net TRIEUR,TFTRNEICHNE,EUR,other_indices,global_indices
612,china,FTSE EPRANAREIT Emerging Net TRIAUD,FTSE EPRANAREIT Emerging Net TRIAUD,TFTRNEICHNA,AUD,other_indices,global_indices
613,china,FTSE EPRANAREIT Emerging Net TRIJPY,FTSE EPRANAREIT Emerging Net TRIJPY,TFTRNEICHNY,JPY,other_indices,global_indices
614,china,FTSE EPRANAREIT Emerging CHINA EUR,FTSE EPRANAREIT Emerging CHINA EUR,FTENEICHNE,EUR,other_indices,global_indices
615,china,FTSE Mpf Greater China,FTSE Mpf Greater China,FTGPMPF031H,HKD,other_indices,global_indices
616,china,FTSE EPRANAREIT Emerging CHINA JPY,FTSE EPRANAREIT Emerging CHINA JPY,FTENEICHNY,JPY,other_indices,global_indices
617,china,FTSE EPRANAREIT Emerging CHINA AUD,FTSE EPRANAREIT Emerging CHINA AUD,FTENEICHNA,AUD,other_indices,global_indices
618,china,FTSE EPRANAREIT Emerging CHINA GBP,FTSE EPRANAREIT Emerging CHINA GBP,FTENEICHNS,GBP,other_indices,global_indices
619,china,FTSE China Utilities GBP,FTSE China Utilities GBP,FTWICHN7000S,GBP,other_indices,global_indices
620,china,FTSE China Utilities JPY,FTSE China Utilities JPY,FTWICHN7000Y,JPY,other_indices,global_indices
621,china,FTSE China Utilities USD,FTSE China Utilities USD,FTWICHN7000U,USD,other_indices,global_indices
622,china,FTSE China Utilities EUR,FTSE China Utilities EUR,FTWICHN7000E,EUR,other_indices,global_indices
623,china,FTSE China Travel Leisure GBP,FTSE China Travel Leisure GBP,FTWICHN5750S,GBP,other_indices,global_indices
624,china,FTSE China Travel Leisure JPY,FTSE China Travel Leisure JPY,FTWICHN5750Y,JPY,other_indices,global_indices
625,china,FTSE EPRANAREIT Emerging CHINA USD,FTSE EPRANAREIT Emerging CHINA USD,FTENEICHNU,USD,other_indices,global_indices
626,china,FTSE RAFI Hong Kong China HKD,FTSE RAFI Hong Kong China HKD,FTFRHKGL,HKD,other_indices,global_indices
627,china,FTSE RAFI Hong Kong China AUD,FTSE RAFI Hong Kong China AUD,FTFRHKGA,AUD,other_indices,global_indices
628,china,FTSE RAFI Hong Kong China EUR,FTSE RAFI Hong Kong China EUR,FTFRHKGE,EUR,other_indices,global_indices
629,china,FTSE ChinaA HY150 HKD,FTSE ChinaA HY150 HKD,FTXH150H,HKD,other_indices,global_indices
630,china,FTSE V SK China TR CHF,FTSE V SK China TR CHF,FTGPVP002SF,CHF,other_indices,global_indices
631,china,FTSE V SK China TR AUD,FTSE V SK China TR AUD,FTGPVP002A,AUD,other_indices,global_indices
632,china,FTSE V SK China TR JPY,FTSE V SK China TR JPY,FTGPVP002Y,JPY,other_indices,global_indices
633,china,FTSE V SK China TR GBP,FTSE V SK China TR GBP,FTGPVP002S,GBP,other_indices,global_indices
634,china,FTSE V SK China TR EUR,FTSE V SK China TR EUR,FTGPVP002E,EUR,other_indices,global_indices
635,china,FTSE V SK China TR USD,FTSE V SK China TR USD,FTGPVP002U,USD,other_indices,global_indices
636,china,FTSE V SK China TR CAD,FTSE V SK China TR CAD,FTGPVP002C,CAD,other_indices,global_indices
637,china,FTSE Shariah Greater China USD,FTSE Shariah Greater China USD,FTSWGCHIU,USD,other_indices,global_indices
638,china,FTSE Shariah Greater China JPY,FTSE Shariah Greater China JPY,FTSWGCHIY,JPY,other_indices,global_indices
639,china,FTSE Shariah Greater China GBP,FTSE Shariah Greater China GBP,FTSWGCHIS,GBP,other_indices,global_indices
640,china,FTSE Shariah Greater China EUR,FTSE Shariah Greater China EUR,FTSWGCHIE,EUR,other_indices,global_indices
641,china,FTSE Shariah China USD,FTSE Shariah China USD,FTSWCHNU,USD,other_indices,global_indices
642,china,FTSE Shariah China JPY,FTSE Shariah China JPY,FTSWCHNY,JPY,other_indices,global_indices
643,china,FTSE Shariah China GBP,FTSE Shariah China GBP,FTSWCHNS,GBP,other_indices,global_indices
644,china,FTSE Shariah China EUR,FTSE Shariah China EUR,FTSWCHNE,EUR,other_indices,global_indices
645,china,FTSE RAFI Hong Kong China USD,FTSE RAFI Hong Kong China USD,FTFRHKGU,USD,other_indices,global_indices
646,china,FTSE RAFI Hong Kong China JPY,FTSE RAFI Hong Kong China JPY,FTFRHKGY,JPY,other_indices,global_indices
647,china,FTSE RAFI Hong Kong China GBP,FTSE RAFI Hong Kong China GBP,FTFRHKGS,GBP,other_indices,global_indices
648,china,FTSE ChinaA HY150 USD,FTSE ChinaA HY150 USD,FTXH150U,USD,other_indices,global_indices
649,china,SME-Chinext 100 TRN,SME-Chinext 100 TRN,SME100R,CNY,other_indices,world_indices
650,china,FTSE China Oil Gas Producers EUR,FTSE China Oil Gas Producers EUR,FTWICHN0530E,EUR,other_indices,global_indices
651,china,SSE MidCap,SSE MidCap,SSEMCI,CNY,other_indices,world_indices
652,china,SSE Upstream Industry,SSE Upstream Industry,SSEUII,CNY,other_indices,world_indices
653,china,SSE Utilities EW,SSE Utilities Equal Weight,SSEUSEWI,CNY,other_indices,world_indices
654,china,SSE Utility Sub,SSE Utility Sub,SSEU,CNY,other_indices,world_indices
655,china,SSE Wealth Mid-Small,SSE Wealth Mid-Small,SSEWMSI,CNY,other_indices,world_indices
656,china,SSE180 Growth,SSE180 Growth,SSE180GI,CNY,other_indices,world_indices
657,china,SSE180 Relative Growth,SSE180 Relative Growth,SSE180RGI,CNY,other_indices,world_indices
658,china,SSE180 Relative Value,SSE180 Relative Value,SSE180RVI,CNY,other_indices,world_indices
659,china,SSE180 Value,SSE180 Value,SSE180VI,CNY,other_indices,world_indices
660,china,SSEF 200,SSEF 200,SSEF200,CNY,other_indices,world_indices
661,china,SSEF 300,SSEF 300,SSEF300,CNY,other_indices,world_indices
662,china,SSEF 500,SSEF 500,SSEF500,CNY,other_indices,world_indices
663,china,SZFI 120,SZFI 120,SZFI120,CNY,other_indices,world_indices
664,china,SZFI 200,SZFI 200,SZFI200,CNY,other_indices,world_indices
665,china,SZFI 60,SZFI 60,SZFI60,CNY,other_indices,world_indices
666,china,SZSE 100,SZSE 100,SZS100,CNY,other_indices,world_indices
667,china,SSE Telecommunication Services EW,SSE Telecommunication Services Equal Weight,SSETSSEWI,CNY,other_indices,world_indices
668,china,SZSE 100 Equal Weight,SZSE 100 Equal Weight,SZ100EWI,CNY,other_indices,world_indices
669,china,SSE Sustainable Development Industry,SSE Sustainable Development Industry,SSESDII,CNY,other_indices,world_indices
670,china,SSE State-owned Enterprises 100,SSE State-owned Enterprises 100,SSESOE100,CNY,other_indices,world_indices
671,china,SSE Midstream Industry,SSE Midstream Industry,SSEMII,CNY,other_indices,world_indices
672,china,SSE non-Cyclical Industry 100,SSE non-Cyclical Industry 100,SSENCI100,CNY,other_indices,world_indices
673,china,SSE Overseas-listing A Share,SSE Overseas-listing A Share,SSEOLAS,CNY,other_indices,world_indices
674,china,SSE Private-owned Enterprises 50,SSE Private-owned Enterprises 50,SSEPOES50,CNY,other_indices,world_indices
675,china,SSE Private-owned Enterprises Dividend,SSE Private-owned Enterprises Dividend,SSEPOEDI,CNY,other_indices,world_indices
676,china,SSE Property Sub,SSE Property Sub,SSEP,CNY,other_indices,world_indices
677,china,SSE Resource 50,SSE Resource 50,SSER50,CNY,other_indices,world_indices
678,china,SSE Select Consumption Industries,SSE Select Consumption Industries,SSESCII,CNY,other_indices,world_indices
679,china,SSE Select Consumption Industries TR,SSE Select Consumption Industries Total Return,CSIH00147,CNY,other_indices,world_indices
680,china,SSE Select Manufacturing Industries,SSE Select Manufacturing Industries,SSESMII,CNY,other_indices,world_indices
681,china,SSE Select Resources Industries,SSE Select Resources Industries,SSESRII,CNY,other_indices,world_indices
682,china,SSE Select Resources Industries TR,SSE Select Resources Industries Total Return,CSIH00145,CNY,other_indices,world_indices
683,china,SSE Shanghai Enterprises,SSE Shanghai Enterprises,SSESHE,CNY,other_indices,world_indices
684,china,SSE SmallCap,SSE SmallCap,SSESCI,CNY,other_indices,world_indices
685,china,SSE Social Responsibility,SSE Social Responsibility,SSESRI,CNY,other_indices,world_indices
686,china,SSE State-owned Enterprises Dividend,SSE State-owned Enterprises Dividend,SSESOEDI,CNY,other_indices,world_indices
687,china,SSE Mid&Small Cap,SSE Mid&Small Cap,SSEMSCI,CNY,other_indices,world_indices
688,china,SZSE 100 Low Volatility,SZSE 100 Low Volatility,SZS100LVI,CNY,other_indices,world_indices
689,china,SZSE 100 Price,SZSE 100 Price,SZS100PI,CNY,other_indices,world_indices
690,china,SZSE B Share,SZSE B Share,SZSB,HKD,other_indices,world_indices
691,china,SZSE B Share Sub,SZSE B Share Sub,SZSB1,HKD,other_indices,world_indices
692,china,SZSE Chinext 300,SZSE Chinext 300,SZCH300,CNY,other_indices,world_indices
